"","hh_ID","freq_mean","pct_meat_mean","pct_fish_mean","pct_protein_mean","meat_calories_mean","fish_calories_mean","protein_calories_mean","calories_total_grams_mean","avg_calories_pp_mean","freq_sd","pct_meat_sd","pct_fish_sd","pct_protein_sd","meat_calories_sd","fish_calories_sd","protein_calories_sd","calories_total_grams_sd","avg_calories_pp_sd","freq_var","pct_meat_var","pct_fish_var","pct_protein_var","meat_calories_var","fish_calories_var","protein_calories_var","calories_total_grams_var","avg_calories_pp_var","numChildren","hh_members","sex","age","maritalStatus","literacy","education","attendingCollege","occupationType","canCarry20L","canWalk5Km","canStandOwn","pctCanCarry20L","pctCanWalk5Km","pctCanStandOwn","totalCultivablePlot","totalOwnPlot"
"1",101012,2.76470588235294,0.117647058823529,0.117647058823529,0.235294117647059,705.882352941176,147.352941176471,853.235294117647,4114.82352941176,2057.41176470588,0.903424856082804,0.17935751349486,0.193332488165834,0.200336726342348,1992.63349246521,606.264478298918,2029.06762853693,5078.17578264201,2539.087891321,0.816176470588236,0.0321691176470588,0.0373774509803921,0.0401348039215686,3970588.23529412,367556.617647059,4117115.44117647,25787869.2794118,6446967.31985294,0,2,"0",32,"2","4","2","0","trader","0","1","1",0,1,1,1,1
"2",102015,3,0.0769230769230769,0.153846153846154,0.230769230769231,115.384615384615,792.307692307692,907.692307692308,5540.38461538462,1846.79487179487,0.912870929175277,0.146176336551172,0.191986911947076,0.180514459491394,416.025147168922,2767.80946431817,2763.28956694177,6769.53606901858,2256.51202300619,0.833333333333333,0.0213675213675214,0.0368589743589744,0.0325854700854701,173076.923076923,7660769.23076923,7635769.23076923,45826618.5897436,5091846.50997151,1,3,"0",45,"2","4","2","0","farming","0","1","1",0,0.333333333333333,1,1,1
"3",102022,1.2,0,0.1,0.1,0,500,500,10610,3536.66666666667,0.421637021355784,0,0.316227766016838,0.316227766016838,0,1581.13883008419,1581.13883008419,7967.72308197964,2655.90769399321,0.177777777777778,0,0.1,0.1,0,2500000,2500000,63484611.1111111,7053845.67901235,0,3,"0",50,"2","4","2","0","trader","1","1","1",1,1,1,0,1
"4",102023,4.86666666666667,0.0888888888888889,0.144444444444444,0.233333333333333,411.111111111111,555.555555555556,966.666666666667,5536.72222222222,1845.57407407407,1.69732108818706,0.145038631902228,0.126412123503994,0.105112744891268,1682.40694648561,1709.10391864979,2299.91450744871,6089.55811763382,2029.85270587794,2.8808988764045,0.0210362047440699,0.015980024968789,0.0110486891385768,2830493.13358302,2921036.20474408,5289606.74157302,37082718.06804,4120302.00755999,0,3,"0",21,"1","4","4","1","prod","1","1","1",1,1,1,0,1
"5",102025,1.40816326530612,0.163265306122449,0.0408163265306122,0.204081632653061,938.775510204082,326.530612244898,1265.30612244898,4755.40816326531,1585.13605442177,0.496586990824148,0.27740905232693,0.199914947901746,0.321428571428571,2918.39113257992,1599.31958321397,3232.48814256708,2623.68475715585,874.561585718618,0.246598639455782,0.0769557823129251,0.0399659863945578,0.103316326530612,8517006.80272109,2557823.1292517,10448979.5918367,6883721.70493197,764857.967214663,0,3,"0",24,"2","4","3","0","livestock","1","1","1",0.666666666666667,0.666666666666667,1,0,1
"6",103032,4.70642201834862,0.119266055045872,0.146788990825688,0.26605504587156,536.697247706422,594.954128440367,1131.65137614679,7573.66972477064,1514.73394495413,2.98856695589727,0.139428107201567,0.202855387499233,0.253869938739331,1948.05983967994,1764.04345281851,2502.44936077875,7579.01270817308,1515.80254163462,8.93153244988108,0.0194401970778117,0.0411503082374642,0.0644499457955116,3794937.13897384,3111849.30343186,6262252.80326199,57441433.630649,2297657.34522596,1,5,"0",28,"1","3","5","0","farming","1","1","1",0.4,0.8,1,1,1
"7",103035,3.04166666666667,0.104166666666667,0.145833333333333,0.25,169.833333333333,490.625,660.458333333333,2895.44791666667,482.574652777778,1.00437638852402,0.168845408376493,0.193988605199812,0.206048878547973,605.209431635323,1454.36389604021,1520.87134247144,2568.48373813194,428.080623021991,1.00877192982456,0.0285087719298246,0.0376315789473685,0.0424561403508772,366278.456140351,2115174.34210526,2313049.64035088,6597108.71304825,183253.019806896,2,6,"0",18,"1","4","3","1","nonearning","1","1","1",0.666666666666667,1,0.833333333333333,1,0
"8",104037,2.6,0.4,0,0.4,4685,0,4685,10085,5042.5,0.547722557505166,0.0912870929175277,0,0.0912870929175277,8419.98366981789,0,8419.98366981789,6200.69552550357,3100.34776275179,0.3,0.00833333333333334,0,0.00833333333333334,70896125,0,70896125,38448625,9612156.25,0,2,"0",28,"2","4","3","0","trader","1","1","1",1,1,1,1,1
"9",104041,2.09090909090909,0,0,0,0,0,0,13997.7272727273,4665.90909090909,1.51357493732854,0,0,0,0,0,0,7563.1628184366,2521.0542728122,2.29090909090909,0,0,0,0,0,0,57201431.8181818,6355714.64646465,1,3,"0",28,"2","4","2","0","trader","1","1","1",0.666666666666667,0.666666666666667,1,1,1
"10",105054,6.25,0.125,0.125,0.25,250,625,875,6443.75,3221.875,2.12132034355964,0.0505076272276105,0.0505076272276105,0.101015254455221,707.106781186548,1767.76695296637,1807.72153354911,8183.39728177904,4091.69864088952,4.5,0.00255102040816327,0.00255102040816327,0.0102040816326531,5e+05,3125000,3267857.14285714,66967991.0714286,16741997.7678571,0,2,"0",45,"2","4","2","0","self","1","1","1",0.5,1,1,0,0
