"","hh_ID","totalCultivablePlot","totalOwnPlot"
"318",236421,1,1
"319",236425,1,0
"320",236426,1,1
"321",236429,0,1
"322",236430,0,1
"323",237431,0,1
"324",237432,0,1
"325",237433,1,0
"326",237434,1,1
"327",237435,0,1
"328",237436,0,2
"329",237438,0,1
"330",237440,0,1
"331",237441,0,1
"332",237442,0,1
"333",237443,0,1
"334",238444,1,1
"335",238446,0,0
"336",238447,1,0
"337",238448,0,1
"338",238449,1,1
"339",238450,0,0
"340",238451,4,2
"341",238452,1,1
"342",238454,0,0
"343",238455,1,1
"344",239457,1,1
"345",239458,0,1
"346",239459,1,1
"347",239460,1,0
"348",239461,0,0
"349",239462,1,1
"350",239464,0,1
"351",239465,2,3
"352",239466,1,1
"353",239467,1,1
"354",240468,1,1
"355",240469,1,1
"356",240470,1,1
"357",240471,14,14
"358",240472,1,0
"359",240473,1,1
"360",240476,1,1
"361",240477,0,1
"362",240478,1,0
"363",240479,1,1
