"","hh_ID","house_rooms_sleeping","housefloor_material","houseroof_material","house_elec","housewall_material"
"129",118196,3,"mud","tin","0","other"
"130",118197,2,"mud","tin","0","tin"
"131",118198,2,"mud","tin","0","concrete"
"132",118199,2,"mud","tin","0","tin"
"133",118200,1,"mud","tin","0","other"
"134",118201,2,"mud","tin","0","tin"
"135",118202,2,"mud","tin","0","concrete"
"136",118203,2,"concrete","tin","0","concrete"
"137",118205,1,"mud","tin","0","other"
"138",118206,2,"mud","tin","1","tin"
"139",118207,6,"concrete","other","1","concrete"
"140",118209,3,"mud","other","0","tin"
"141",118211,2,"concrete","tin","1","concrete"
"142",118212,2,"mud","tin","0","other"
"143",119213,2,"concrete","tin","1","concrete"
"144",119214,2,"mud","tin","1","tin"
"145",119215,4,"mud","tin","0","concrete"
"146",119216,2,"concrete","tin","1","concrete"
"147",119217,4,"mud","tin","0","tin"
"148",119218,1,"mud","tin","0","tin"
"149",119220,2,"concrete","tin","1","concrete"
"150",119222,2,"mud","other","1","tin"
"151",120224,2,"mud","tin","0","tin"
"152",120225,3,"mud","tin","0","tin"
"153",120226,2,"concrete","tin","1","concrete"
"154",120228,2,"mud","other","1","other"
"155",120229,2,"mud","other","1","other"
"156",120230,2,"mud","other","1","other"
"157",120231,4,"mud","other","0","other"
"158",120233,3,"concrete","other","1","concrete"
"159",120236,5,"mud","other","1","other"
"160",120237,2,"concrete","other","0","concrete"
"161",120238,3,"concrete","other","1","concrete"
"162",221241,2,"concrete","other","1","concrete"
"163",221242,1,"concrete","tin","0","tin"
"164",221245,1,"mud","tin","1","other"
"165",221248,1,"mud","tin","1","other"
"166",221249,3,"mud","other","1","other"
"167",221250,4,"mud","tin","1","other"
"168",221251,5,"concrete","other","1","concrete"
"169",222252,3,"concrete","tin","1","concrete"
"170",222253,2,"mud","tin","1","concrete"
"171",222254,3,"mud","tin","1","other"
"172",222255,2,"concrete","other","1","concrete"
"173",222257,2,"mud","tin","1","concrete"
"174",222258,4,"concrete","tin","1","concrete"
"175",222259,1,"concrete","tin","1","tin"
"176",223260,3,"mud","other","1","other"
"177",223262,3,"mud","tin","1","concrete"
"178",223263,5,"concrete","tin","1","concrete"
"179",223264,2,"mud","tin","1","tin"
"180",223269,7,"concrete","other","1","concrete"
"181",223271,4,"concrete","other","1","concrete"
"182",224272,3,"mud","tin","1","tin"
"183",224273,2,"mud","tin","1","other"
"184",224275,2,"other","other","1","other"
"185",224277,4,"concrete","tin","1","concrete"
"186",224280,2,"mud","tin","0","other"
"187",224281,5,"concrete","tin","1","concrete"
"188",224282,3,"concrete","tin","1","concrete"
"189",224283,3,"mud","tin","1","other"
"190",224284,2,"mud","tin","1","other"
"191",225285,1,"mud","tin","1","tin"
"192",225287,3,"concrete","tin","1","concrete"
"193",225288,4,"concrete","tin","1","concrete"
"194",225289,3,"mud","tin","1","tin"
"195",225291,3,"concrete","tin","1","concrete"
"196",225292,3,"other","other","1","other"
"197",225295,3,"mud","tin","1","tin"
"198",225296,2,"concrete","tin","1","concrete"
"199",225297,1,"mud","tin","1","concrete"
"200",226298,1,"mud","tin","1","tin"
"201",226300,4,"mud","tin","1","tin"
"202",226302,3,"mud","tin","1","tin"
"203",226303,2,"mud","tin","1","tin"
"204",226304,3,"concrete","tin","1","concrete"
"205",226305,2,"mud","tin","1","tin"
"206",226306,1,"mud","tin","1","other"
"207",226307,3,"mud","tin","1","tin"
"208",226308,2,"mud","tin","1","other"
"209",226309,1,"mud","tin","1","tin"
"210",227312,2,"concrete","tin","1","tin"
"211",227313,4,"concrete","tin","1","concrete"
"212",227314,3,"mud","tin","1","tin"
"213",227317,2,"mud","other","0","other"
"214",227318,2,"mud","tin","1","other"
"215",227319,2,"mud","tin","1","concrete"
"216",228322,4,"concrete","tin","1","concrete"
"217",228323,4,"concrete","tin","1","concrete"
"218",228324,3,"mud","tin","1","concrete"
"219",228325,3,"other","other","1","other"
"220",228326,4,"other","other","1","other"
"221",228327,3,"mud","tin","1","tin"
"222",228328,1,"mud","other","1","tin"
"223",228329,3,"mud","tin","1","tin"
"224",228330,4,"concrete","other","1","concrete"
"225",228331,4,"concrete","tin","1","concrete"
"226",228332,3,"mud","other","1","tin"
"227",228333,2,"mud","tin","1","tin"
"228",229334,3,"mud","other","1","other"
"229",229335,1,"mud","other","1","other"
"230",229336,3,"mud","other","1","other"
"231",229338,2,"concrete","tin","1","concrete"
