"","hh_ID","use_lat","count_latrine","main_use_flush","defecation_public"
"200",225297,"1",1,"1","1"
"201",226298,"1",1,"1","1"
"202",226299,"1",1,"1","1"
"203",226300,"1",1,"1","0"
"204",226302,"1",1,"1","1"
"205",226303,"1",1,"1","1"
"206",226304,"1",1,"1","0"
"207",226305,"1",1,"1","0"
"208",226306,"1",1,"1","1"
"209",226307,"1",1,"1","1"
"210",226308,"1",1,"1","1"
"211",226309,"1",2,"1","0"
"212",227312,"1",1,"1","0"
"213",227313,"1",1,"1","1"
"214",227314,"1",1,"0","1"
"215",227317,"1",1,"1","1"
"216",227318,"1",1,"0","1"
"217",227319,"1",1,"1","1"
"218",227320,"1",1,"0","0"
"219",228322,"1",1,"0","0"
"220",228323,"1",3,"1","0"
"221",228325,"1",1,"1","1"
"222",228326,"1",1,"1","1"
"223",228327,"1",1,"1","1"
"224",228328,"1",6,"1","1"
"225",228330,"1",3,"1","0"
"226",228331,"1",2,"1","1"
"227",228332,"1",1,"1","1"
"228",228333,"1",1,"1","1"
"229",229334,"1",1,"0","1"
"230",229335,"1",3,"1","0"
"231",229336,"1",1,"1","0"
"232",229338,"1",2,"1","1"
"233",229339,"1",1,"0","0"
"234",229340,"1",1,"1","1"
"235",229341,"1",1,"1","1"
"236",229342,"1",1,"1","1"
"237",229343,"1",1,"1","1"
"238",229344,"1",2,"1","0"
"239",230346,"1",2,"1","1"
"240",230348,"1",1,"1","1"
"241",230349,"1",1,"1","0"
"242",230350,"1",1,"0","1"
"243",230351,"1",2,"1","0"
"244",230353,"1",1,"0","1"
"245",230354,"1",1,"1","1"
"246",230355,"1",1,"1","0"
"247",230356,"1",2,"0","1"
"248",230357,"1",1,"0","0"
"249",231358,"1",1,"1","1"
"250",231359,"1",1,"1","1"
"251",231360,"1",1,"1","1"
"252",231362,"1",1,"1","1"
"253",231364,"1",1,"1","1"
"254",231365,"1",1,"1","1"
"255",231366,"1",1,"0","1"
"256",231368,"1",1,"1","1"
"257",231369,"1",1,"1","1"
"258",232370,"1",1,"1","1"
"259",232372,"1",1,"1","1"
"260",232375,"1",1,"1","1"
"261",232377,"1",1,"1","1"
"262",232378,"1",1,"1","1"
"263",232380,"1",1,"0","0"
"264",233383,"1",2,"0","1"
"265",233384,"1",1,"1","1"
"266",233385,"1",2,"1","0"
"267",233386,"1",2,"1","0"
"268",233388,"1",1,"1","1"
"269",233390,"1",2,"1","1"
"270",233391,"1",1,"1","1"
"271",233392,"1",1,"1","0"
"272",233393,"1",2,"1","0"
"273",233394,"1",1,"1","0"
"274",233395,"1",2,"1","1"
"275",234396,"1",1,"1","0"
"276",234397,"1",1,"0","0"
"277",234398,"1",1,"0","0"
"278",234399,"1",1,"0","1"
"279",234400,"1",1,"0","1"
"280",234401,"1",1,"0","1"
"281",234402,"1",1,"0","1"
"282",234405,"1",2,"0","1"
"283",235407,"1",1,"1","1"
"284",235411,"1",1,"1","1"
"285",235412,"1",1,"0","1"
"286",235413,"1",2,"1","1"
"287",235414,"1",1,"1","1"
"288",235416,"1",2,"1","0"
"289",235417,"1",1,"1","0"
"290",235418,"1",2,"1","1"
"291",236419,"1",1,"1","1"
"292",236422,"1",1,"1","1"
"293",236424,"1",1,"1","1"
"294",236425,"1",2,"1","0"
"295",236426,"1",1,"1","1"
"296",236427,"1",2,"1","0"
"297",236429,"1",1,"1","1"
"298",236430,"1",1,"1","1"
"299",237431,"1",1,"1","1"
"300",237432,"1",1,"1","1"
"301",237433,"1",1,"0","1"
"302",237434,"1",1,"1","1"
"303",237435,"1",1,"0","0"
"304",237436,"1",1,"1","1"
"305",237438,"1",1,"0","1"
"306",237439,"1",1,"0","1"
"307",237440,"1",1,"1","0"
"308",237441,"1",1,"0","1"
"309",237442,"1",1,"1","1"
"310",237443,"1",1,"1","1"
"311",238446,"1",2,"1","0"
"312",238447,"1",1,"1","1"
"313",238448,"1",1,"1","1"
"314",238449,"1",1,"0","0"
"315",238451,"1",1,"0","1"
"316",238452,"1",1,"1","1"
"317",238454,"1",1,"0","1"
"318",238455,"1",1,"0","1"
"319",239456,"1",1,"1","1"
"320",239457,"1",1,"1","1"
"321",239458,"1",1,"1","0"
"322",239459,"1",1,"1","0"
"323",239460,"1",1,"1","1"
"324",239461,"1",1,"1","1"
"325",239462,"1",1,"1","1"
"326",239463,"1",1,"0","0"
"327",239464,"1",1,"1","0"
"328",239466,"1",2,"1","1"
"329",239467,"1",1,"1","1"
"330",240468,"1",2,"1","1"
"331",240469,"1",2,"1","1"
"332",240471,"1",1,"1","1"
"333",240472,"1",1,"1","1"
"334",240473,"1",1,"1","1"
"335",240474,"1",1,"1","1"
"336",240475,"1",2,"1","1"
"337",240476,"1",1,"1","1"
"338",240477,"1",1,"1","0"
"339",240478,"1",1,"1","1"
"340",240479,"1",1,"1","1"
